name,sumPlacement,amountJoined,amountTopped
| Future Doctor,25,1,0
Golli,25,1,0
Hockey,25,1,0
Salad,322,10,0
The Final Boss Melashu,123,3,0
Densetsu,462,14,0
Sharpedo43,316,12,1
Maj0ra,33,1,0
LiteralSoyYo,149,5,0
T-sizzle,59,3,0
Cott'n,33,1,0
Risk,66,2,0
Minejack777,165,5,0
KaGe,156,4,0
mellohi,33,1,0
YoKryptic,49,1,0
rekt_dim,49,1,0
T3 DOM,4,4,4
Venus,4,2,2
YMCA,6,2,2
K9sbruce,8,2,2
Phoenix,471,23,2
White Nova,10,2,2
Linky,14,2,2
AC,20,4,4
| Kyros,18,2,0
M.M.Leo,18,2,0
Floppeh,36,4,0
?,18,2,0
Jesse Water,26,2,0
BashLuv,26,2,0
Shangrai,26,2,0
TheeR3dFox,26,2,0
Abe,34,2,0
JustOmega#8404,34,2,0
SoulX,68,4,0
Skydra,34,2,0
perc lord,34,2,0
Ace!,34,2,0
danlistoo,34,2,0
FrontalHornet08,34,2,0
Spanky,50,2,0
ChaseMe,76,4,0
Lenny,75,3,0
LaV,100,4,0
Tearbear,50,2,0
Simple Soul,50,2,0
Fluteloops,50,2,0
VG,66,2,0
ceej,66,2,0
Silla,66,2,0
Katz,66,2,0
Eggie,66,2,0
Beef,66,2,0
Pan Dulce,66,2,0
JoMammis,66,2,0
Yogi,66,2,0
miko,66,2,0
Phire,66,2,0
Zenokids,66,2,0
Tenebrae,66,2,0
KALi,66,2,0
Nem,66,2,0
A Pile Of Bacon,66,2,0
Gir,98,2,0
Lavabeast,98,2,0
ReddWolfe,98,2,0
MaChamp01,98,2,0
Turt,98,2,0
D3adNess,98,2,0
Khoi,98,2,0
Chesnut,196,4,0
J.O.S.,98,2,0
Limit,98,2,0
JoBro,98,2,0
Acesgalore,98,2,0
Jackfruit,637,13,0
Astra Wolf,98,2,0
DoubleXP,98,2,0
Cutiecake,98,2,0
John Barrett,2,2,2
RobbieAK47,4,2,2
Logue,23,3,2
Dawg,18,4,4
Siron,10,2,2
Sansi,37,5,5
Claw,42,6,6
alx,30,6,4
Ramustelija,52,4,0
AstralGDAKA!,44,6,2
K.p,18,2,0
NinYT,36,4,2
Caecilius,65,5,1
Pyrum6,26,2,0
Smirgel,34,2,0
Inias,34,2,0
Midoriss,43,5,3
Scrob,34,2,0
MazeBeans,135,7,3
Tea Oh Kay,137,5,0
DaSquid,197,5,0
BIRDSSSS,100,4,0
RNG,50,2,0
Metal_Militia_,50,2,0
Strongpig,50,2,0
Oshiegbu,116,4,0
Ruthless,66,2,0
FTH,66,2,0
Extrick,66,2,0
Kaiisah,66,2,0
Ptr,66,2,0
Danger,165,5,0
XPino,66,2,0
Denozba,66,2,0
ChickenArrow,247,7,0
Izu,116,4,0
Mante,66,2,0
Solar,98,2,0
DeltaNS,164,4,0
DK Dyl,98,2,0
Geronimorino,98,2,0
Drathian,98,2,0
Rise,98,2,0
MemeGunner,362,10,0
drif,98,2,0
Sencho,98,2,0
Sumk1nd NF,98,2,0
Chaosrevenger,98,2,0
GuiltyPleasure,98,2,0
dryB,16,4,4
Tunbi,4,2,2
Haeschen,6,2,2
Repus,34,4,2
RobinGG,10,2,2
Amoht,32,4,2
Icrysta,16,2,2
Geeni,20,2,0
TMario,56,4,0
[E]rik,24,2,0
bob,30,2,0
Eclipse,56,4,2
Nim,34,2,0
Kyra,134,4,0
Joni,36,2,0
Odnamra,40,2,0
seesen,138,4,0
Vulk,44,2,0
Despair,121,7,0
Skail,50,2,0
pille,50,2,0
Bluetenx,54,2,0
Saiko,56,2,0
slowmo,60,2,0
DerTypDa123,60,2,0
FischiiLuca,64,2,0
Eyce,66,2,0
Dty,82,4,2
OG Jason,70,2,0
Kaktuserde,70,2,0
YiYa,70,2,0
Brittle,70,2,0
viscacha,70,2,0
марио,84,2,0
Ripha,107,3,0
Octowyer,92,2,0
woodstock,94,2,0
Dawu,179,5,0
aRa,98,2,0
Nidaime,98,2,0
Elegant,2,2,2
ven,76,17,17
Tux,6,2,2
Theedium,8,2,2
FOW,10,2,2
frawg,10,2,2
Caius,14,2,2
Leo D. Haki,14,2,2
Gibbles,18,2,0
Scisto,18,2,0
Mishunz,18,2,0
IllusioN,18,2,0
AmberZephyr,26,2,0
Ronnie,26,2,0
Zer0.exe,26,2,0
Toski,26,2,0
Armo,34,2,0
Aloe,132,4,0
Scaper,34,2,0
chickncup,34,2,0
Brosinex,34,2,0
Hue,34,2,0
aChunkeyMonkey,34,2,0
Champbe,50,2,0
Laelaps,50,2,0
KirbyMlgnes,60,4,2
Popadopalis,50,2,0
MrCupKakes,50,2,0
peparony,50,2,0
Quillen,50,2,0
Poi,50,2,0
Sad Boi,66,2,0
Monarch,66,2,0
Cora Frost,66,2,0
DonovanTrp,66,2,0
Ankles,66,2,0
JBDuncan,66,2,0
Thumb,66,2,0
h,66,2,0
Jank,164,4,0
hectorjunior710,66,2,0
Frito,66,2,0
BOAT,66,2,0
Kojakx,66,2,0
Harryparrry21,66,2,0
Chiva,66,2,0
action,98,2,0
CO3,98,2,0
pepperthegamer,98,2,0
TheBlueLink,98,2,0
Ricenpai,98,2,0
Spammy,98,2,0
Night,98,2,0
RemyTH,98,2,0
Punisher,98,2,0
clonepa,98,2,0
Ma víe,98,2,0
dangerboi64,98,2,0
A18,98,2,0
Rabbit,98,2,0
Pollo,98,2,0
Kurshaun,457,17,1
WeaponRaid,4,3,3
Genius,70,3,1
Vega,5,1,1
Croissant,7,1,1
αngeloid,7,1,1
PrincePurple,9,1,0
InsertName,9,1,0
Beanz,50,2,0
Dungam,17,1,0
Snowbelle~,17,1,0
tg,17,1,0
Ma-kun,17,1,0
Rett,17,1,0
Rose~,25,1,0
NoisyMeteor,58,2,0
TGL,25,1,0
mattvxd,91,3,0
severedwings,25,1,0
Dana,91,3,0
Dark Mage,91,3,0
Nest,25,1,0
Mapl_3,33,1,0
Ivanchis,67,3,0
Vapor,33,1,0
Blutsauger,474,10,0
jumbojimbo,33,1,0
Draco,33,1,0
Zillo,238,6,0
tradecraft,49,1,0
TheAnt,196,4,0
No Name,213,5,0
Gritanx,49,1,0
