name,sumPlacement,amountJoined
MaChamp01,49,1
Turt,49,1
D3adNess,49,1
Khoi,49,1
Chesnut,98,2
J.O.S.,242,2
Limit,49,1
JoBro,49,1
Acesgalore,49,1
Jackfruit,98,2
Astra Wolf,49,1
DoubleXP,49,1
Cutiecake,49,1
AL-1,65,1
John Barrett,1,1
RobbieAK47,2,1
Logue,3,1
Dawg,4,1
Siron,5,1
Sansi,5,1
Claw,7,1
alx,9,1
Ramustelija,9,1
AstralGDAKA!,9,1
K.p,9,1
NinYT,13,1
Caecilius,13,1
Pyrum6,13,1
Smirgel,17,1
Inias,17,1
Midoriss,17,1
Scrob,17,1
MazeBeans,17,1
Tea Oh Kay,52,2
DaSquid,25,1
RNG,25,1
Metal_Militia_,25,1
Strongpig,25,1
Oshiegbu,33,1
Ruthless,33,1
FTH,33,1
Extrick,33,1
Kaiisah,33,1
Ptr,33,1
Danger,33,1
XPino,33,1
Denozba,33,1
ChickenArrow,33,1
Izu,33,1
Mante,33,1
Solar,49,1
DK Dyl,49,1
Geronimorino,103,2
Drathian,49,1
Rise,49,1
MemeGunner,49,1
drif,49,1
Sencho,49,1
Sumk1nd NF,49,1
Chaosrevenger,49,1
GuiltyPleasure,49,1
Atlas,65,1
dryB,1,1
Tunbi,2,1
Haeschen,3,1
Repus,4,1
RobinGG,5,1
Amoht,7,1
Icrysta,8,1
Geeni,10,1
TMario,11,1
[E]rik,12,1
bob,15,1
Eclipse,28,2
Nim,17,1
Joni,18,1
Odnamra,20,1
seesen,20,1
Vulk,22,1
Despair,22,1
Skail,25,1
pille,25,1
Bluetenx,27,1
Saiko,28,1
slowmo,30,1
DerTypDa123,30,1
FischiiLuca,32,1
Eyce,33,1
Dty,34,1
OG Jason,35,1
Kaktuserde,35,1
YiYa,35,1
Brittle,35,1
viscacha,35,1
марио,42,1
Ripha,45,1
Octowyer,46,1
woodstock,47,1
Dawu,48,1
aRa,49,1
Nidaime,49,1
ALXtreme,52,1
PADERBORN;,53,1
Cesu,54,1
sourc,56,1
NatsPT,56,1
Pasiboy,56,1
Zeta,153,2
Sen,56,1
hydrofx,56,1
Elegant,1,1
ven,4,2
Tux,3,1
Theedium,4,1
FOW,5,1
frawg,5,1
Caius,7,1
Leo D. Haki,7,1
Gibbles,9,1
Scisto,9,1
Mishunz,9,1
IllusioN,9,1
AmberZephyr,13,1
Ronnie,13,1
Zer0.exe,13,1
Toski,13,1
Armo,17,1
Aloe,17,1
Scaper,17,1
chickncup,17,1
Brosinex,17,1
Hue,17,1
aChunkeyMonkey,17,1
Champbe,25,1
Laelaps,25,1
KirbyMlgnes,25,1
Popadopalis,25,1
MrCupKakes,25,1
Quillen,25,1
Poi,25,1
Sad Boi,33,1
Monarch,33,1
Cora Frost,33,1
DonovanTrp,33,1
Ankles,33,1
