name,sumPlacement,amountJoined,amountTopped
YaBoiJT,264,2,1
Stronghold,9,1,0
Sir Luscious Left Foot,394,2,0
Xx_1tchy_84ll5_xX,26,2,0
Ra,9,1,0
BeastModePaul,398,2,0
Zozo3804,13,1,0
dwizar1,13,1,0
Dark4orce,17,1,0
Juami,17,1,0
milkcup!,17,1,0
Shdwemp,17,1,0
Mista-M00,17,1,0
LocoDz,74,2,0
Taco Tony,25,1,0
PatchSlaw7,25,1,0
Taz,25,1,0
Sho,25,1,0
s,25,1,0
Purin,25,1,0
Cheesebslls,33,1,0
a bottle of fiji water,33,1,0
Ultraasher,33,1,0
NamiLover,33,1,0
Chariot,33,1,0
Von Solo Dragon,33,1,0
Sonic_Arrow,33,1,0
SrJorjoroY,33,1,0
TheChosen1,33,1,0
Stage Hazard,33,1,0
TapuCocoa,33,1,0
Bloomy,49,1,0
BigBoss,82,2,0
MasterKill,49,1,0
Radiance!,49,1,0
Trig Daddy,49,1,0
Ketra,49,1,0
TheXDestroyer,49,1,0
Capsid,49,1,0
Chris,49,1,0
JDV,49,1,0
Jr,49,1,0
Kyë,65,1,0
duchy101,65,1,0
GAME,65,1,0
Selegna,65,1,0
HACHi,82,2,0
Blue Ninja,65,1,0
Edog11,65,1,0
Atakan,65,1,0
Bradurjen,65,1,0
Noodles,387,3,0
Slinky,258,2,0
Son+,65,1,0
Karbles,65,1,0
Kit,65,1,0
Leonine,65,1,0
MAC,65,1,0
Nalga,1,1,1
Yael,2,1,1
MissyyMayy,5,1,1
SickeningFever,5,1,1
vacaTHEkiller,7,1,1
MrM,7,1,1
Javi,9,1,0
Edu,26,2,0
YIGA,34,2,0
cesarXfire,9,1,0
Sout,135,3,0
JR.,13,1,0
Gohan McCloud,13,1,0
Celtic,17,1,0
SBx|Lenroy,17,1,0
nava,17,1,0
Zword,17,1,0
RadioOvni,19,2,1
Pi,17,1,0
Topo,17,1,0
Paulovsky,25,1,0
Namiko_Z,25,1,0
Lexissu,25,1,0
Gravity,25,1,0
Many,74,2,0
JoseGP2077,25,1,0
Kael,90,2,0
Gokunzalez,33,1,0
Silver,40,2,1
Litt,66,2,0
DNY,33,1,0
Wazamamerto,33,1,0
|Ceballos|,33,1,0
Shawnz,33,1,0
Istva,148,4,0
